range_m,TL_coherent_dB,TL_incoherent_dB
200.0,42.94378604066595,41.758496787977066
250.0,55.17999915345587,43.22912438497869
300.0,44.24370385750535,44.435915274646014
350.0,46.241079441942006,45.2555432188141
400.0,40.922816777525846,45.69692649319954
450.0,42.557260749114285,46.4459128884679
500.0,50.28815409570346,47.117675394171876
550.0,46.31080351016239,47.569904384566044
600.0,49.58863218319288,47.92406985021333
650.0,46.85633192877341,48.419580711282045
700.0,45.1366658708547,48.86381400873955
750.0,49.94494893652336,49.1509517504997
800.0,47.37453256403663,49.44647414806029
850.0,46.32696881648911,49.81102430510897
900.0,43.9220753194747,50.13567325142496
950.0,62.10886866839685,50.364773658683475
1000.0,55.30706329512832,50.62408120537179
1050.0,52.85090904065751,50.91214900194883
1100.0,49.151184146301574,51.16290935572849
1150.0,56.40070682194748,51.35868132750104
1200.0,47.509763275275034,51.58241908093362
1250.0,53.70486000892396,51.81789002759592
1300.0,57.60188578357177,52.02238594236417
1350.0,49.27238150453603,52.200708973731224
1400.0,52.0994671794422,52.39812941453379
1450.0,47.44757488103276,52.59743396114387
1500.0,50.37525593723195,52.77162485755636
1550.0,53.525233110394986,52.934354139188386
1600.0,55.02535022229738,53.10880021435514
1650.0,48.1959206436068,53.280628114060306
1700.0,61.26912472168382,53.43462741670856
1750.0,59.59560014074092,53.584937729220094
1800.0,57.65390955953154,53.74160932776203
1850.0,55.592680343665606,53.89339404709819
1900.0,60.07357254633249,54.03281078747284
1950.0,52.35603162704127,54.17130694660463
2000.0,49.30373580098062,54.31266558028515
2050.0,46.26715543471002,54.448722907731806
2100.0,47.454267182651265,54.57700092534238
2150.0,52.061295453391914,54.70543286375132
2200.0,55.725925584560194,54.83456937588254
2250.0,52.274768910335965,54.958705300838524
2300.0,77.91020286841449,55.077820655357506
2350.0,51.207388267393654,55.197026263570955
2400.0,65.5709435901301,55.315628395148366
2450.0,52.363892249873736,55.43003245763189
2500.0,56.693997759288024,55.54139792970673
2550.0,52.43068622624197,55.652661265572476
2600.0,60.474707231308756,55.762664940430746
2650.0,62.872529782716796,55.86928118141975
2700.0,59.69800692752262,55.97384219133065
2750.0,52.01511385181102,56.077940878403496
2800.0,62.57393676851245,56.1805053938683
2850.0,55.168954541964574,56.28044906103391
2900.0,50.85644270971314,56.37899120723772
2950.0,53.07864009641625,56.47689402168076
3000.0,61.75106029935658,56.57322524449061
3050.0,58.67454162442183,56.667509030749876
3100.0,55.42564837493798,56.76067395951683
3150.0,69.9072263403046,56.85300616855328
3200.0,60.56922731289837,56.94384713950437
3250.0,56.190460239520796,57.03311697887556
3300.0,55.09928918035083,57.121458144502235
3350.0,63.4152367566592,57.20891618142054
3400.0,53.673221315497194,57.29504100806682
3450.0,55.650532127567764,57.37989446273503
