time_of_arrival_s,amplitude_abs,amplitude_dB_abs,amplitude_dB_rel_to_max,angle_of_arrival_deg,angle_of_departure_deg,surface_bounces,bottom_bounces
3.4615345,0.00012297683683481258,-78.20353363822838,-4.157254444757584,-15.6532822,-15.6532822,7,7
3.4800992,3.472032594842626e-05,-89.18832412789568,-15.142044934424888,16.7750168,-16.7750168,8,7
3.4800992,3.3070221579243005e-05,-89.61125790377,-15.5649787102992,-16.7750168,16.7750168,7,8
3.48010182,0.00010056248235643172,-79.95128029506681,-5.905001101596014,16.6730404,-16.6730404,8,7
3.48010182,9.580200949963953e-05,-80.37250762522412,-6.3262284317533215,-16.6730404,16.6730404,7,8
3.49983978,6.197997393140664e-05,-84.15497221519338,-10.108693021722587,-17.6927986,-17.6927986,8,8
3.49983978,6.197997393140664e-05,-84.15497221519338,-10.108693021722587,17.6927986,17.6927986,8,8
3.49984002,6.404509590555508e-05,-83.87028239338886,-9.824003199918067,-17.7947731,-17.7947731,8,8
3.49984002,6.404509590555508e-05,-83.87028239338886,-9.824003199918067,17.7947731,17.7947731,8,8
3.52073002,4.409783841144805e-05,-87.11165396528637,-13.06537477181557,18.7125549,-18.7125549,9,8
3.52073002,4.18329982987749e-05,-87.56962014183344,-13.523340948362645,-18.7125549,18.7125549,8,9
3.52073145,7.89387498318555e-05,-82.05419511782347,-8.007915924352673,18.8145313,-18.8145313,9,8
3.52073145,7.486693937782051e-05,-82.51419841650774,-8.467919223036944,-18.8145313,18.8145313,8,9
3.54275227,3.943969151564964e-05,-88.08132981253492,-14.035050619064123,-19.7323132,-19.7323132,9,9
3.54275227,3.943969151564964e-05,-88.08132981253492,-14.035050619064123,19.7323132,19.7323132,9,9
3.54275417,7.392758501295816e-05,-82.62386961274024,-8.577590419269441,19.8342896,19.8342896,9,9
3.54275417,7.392758501295816e-05,-82.62386961274024,-8.577590419269441,-19.8342896,-19.8342896,9,9
3.56588602,5.0924755899754115e-05,-85.86142088097674,-11.815141687505943,20.7520714,-20.7520714,10,9
3.56588602,4.8048100090392176e-05,-86.36647560905418,-12.320196415583382,-20.7520714,20.7520714,9,10
3.5658865,5.543812404287673e-05,-85.1238294826477,-11.077550289176898,-20.8540478,20.8540478,9,10
3.5658865,5.87762497807244e-05,-84.61596255087406,-10.569683357403264,20.8540478,-20.8540478,10,9
3.59010696,2.8695869682760163e-05,-90.84361217199074,-16.797332978519947,21.8738041,21.8738041,10,10
3.59010696,2.8695869682760163e-05,-90.84361217199074,-16.797332978519947,-21.8738041,-21.8738041,10,10
3.59010935,7.053996051177756e-05,-83.0312957557244,-8.985016562253605,21.7718296,21.7718296,10,10
3.59010935,7.053996051177756e-05,-83.0312957557244,-8.985016562253605,-21.7718296,-21.7718296,10,10
3.61539435,7.990954591140585e-06,-101.94802674437955,-27.901747550908752,-22.6896114,22.6896114,10,11
3.61539435,8.533969446469655e-06,-101.37697832691727,-27.330699133446473,22.6896114,-22.6896114,11,10
3.61539912,8.578102996635276e-05,-81.33217487049146,-7.285895677020662,22.7915878,-22.7915878,11,10
3.61539912,8.02817323579127e-05,-81.90766529335602,-7.861386099885223,-22.7915878,22.7915878,10,11
3.64173126,3.222378964102123e-05,-89.83646772439266,-15.790188530921867,23.8113441,23.8113441,11,11
3.64173126,3.222378964102123e-05,-89.83646772439266,-15.790188530921867,-23.8113441,-23.8113441,11,11
3.64173245,5.007568313508394e-05,-86.0074623465195,-11.961183153048708,23.7093697,23.7093697,11,11
3.64173245,5.007568313508394e-05,-86.0074623465195,-11.961183153048708,-23.7093697,-23.7093697,11,11
3.66908693,1.8276882547639996e-05,-94.76195758103322,-20.71567838756242,-24.6271515,24.6271515,11,12
3.66908693,1.9779874401327743e-05,-94.07552940845068,-20.029250214979882,24.6271515,-24.6271515,12,11
3.66908979,5.514295083173816e-05,-85.17019994935231,-11.123920755881514,24.729126,-24.729126,12,11
3.66908979,5.090195094432736e-05,-85.86531143848347,-11.819032245012679,-24.729126,24.729126,11,12
3.69744134,3.5169412316462937e-06,-109.07669777432062,-35.030418580849826,-25.5449333,-25.5449333,12,12
3.69744134,3.5169412316462937e-06,-109.07669777432062,-35.030418580849826,25.5449333,25.5449333,12,12
3.69744658,5.6155893400246754e-05,-85.01209318096318,-10.965813987492382,25.6469097,25.6469097,12,12
3.69744658,5.6155893400246754e-05,-85.01209318096318,-10.965813987492382,-25.6469097,-25.6469097,12,12
3.72677422,1.423658486828858e-07,-136.93188357176118,-62.88560437829038,-26.666666,26.666666,12,13
3.72677422,1.5954671145431123e-07,-135.94224285942695,-61.89596366595616,26.666666,-26.666666,13,12
3.72677994,4.178855937050839e-05,-87.57885201154866,-13.532572818077867,-26.5646915,26.5646915,12,13
3.72677994,4.669064657041515e-05,-86.61540223865987,-12.569123045189073,26.5646915,-26.5646915,13,12
3.75706244,2.1372630613623175e-06,-113.40284040307449,-39.3565612096037,-27.380497,-27.380497,13,13
3.75706244,2.1372630613623175e-06,-113.40284040307449,-39.3565612096037,27.380497,27.380497,13,13
3.75706744,2.307436966981024e-05,-92.73740307812092,-18.691123884650125,27.4824734,27.4824734,13,13
3.75706744,2.307436966981024e-05,-92.73740307812092,-18.691123884650125,-27.4824734,-27.4824734,13,13
3.78828311,2.471780885380167e-06,-112.1398006108876,-38.09352141741681,-28.2982788,28.2982788,13,14
3.78828311,3.0784845312596738e-06,-110.23326048611749,-36.18698129264669,28.2982788,-28.2982788,14,13
3.78828549,4.812767237834451e-06,-106.35210283613296,-32.30582364266216,-28.4002552,28.4002552,13,14
3.78828549,6.059454661949655e-06,-104.3513291931203,-30.305049999649512,28.4002552,-28.4002552,14,13
3.82041025,5.676122841265797e-07,-124.9189642843526,-50.8726850908818,-29.318037,-29.318037,14,14
3.82041025,5.676122841265797e-07,-124.9189642843526,-50.8726850908818,29.318037,29.318037,14,14
3.8204124,1.3821661394019262e-06,-117.18879501349386,-43.142515820023064,-29.2160606,-29.2160606,14,14
3.8204124,1.3821661394019262e-06,-117.18879501349386,-43.142515820023064,29.2160606,29.2160606,14,14
