range_m,TL_isovelocity_90m_dB,TL_thermocline_90m_dB,TL_isovelocity_10m_dB,TL_thermocline_10m_dB
200.0,41.6925431390799,41.51905180288867,42.36523583364405,42.43817260278946
250.0,43.179867474761046,42.930148405166676,43.57040759012254,43.460521587735855
300.0,44.15094416098953,43.821863556626894,44.178219479686554,44.173068829523444
350.0,45.07572458938022,44.749141896032455,45.06441256645938,45.17610179974584
400.0,45.93809580256831,45.511159227887134,45.90671158883524,46.02207249669463
450.0,46.521109313454076,45.969053420712825,46.47894939666939,46.56462710666483
500.0,46.94214125022479,46.38605088751318,46.95490615103174,47.11864744387555
550.0,47.488250224240915,46.91751963493327,47.55507230468557,47.75065555238211
600.0,48.006162457485374,47.337781336465454,48.09520948808511,48.23363290780867
650.0,48.386883597880576,47.64603490842574,48.44696329041593,48.53313225696606
700.0,48.7360423090867,47.98516049187007,48.76434719278293,48.923133142225296
750.0,49.151852483360514,48.35842837452973,49.16409442357252,49.329314954233766
800.0,49.525348448676596,48.695813349823965,49.52352302555055,49.654942722405664
850.0,49.79916055065823,49.08864102603232,49.78713075741148,49.932285612029034
900.0,50.07142360047153,49.69301217053874,50.07066147926011,50.28203700866608
950.0,50.37861855906201,50.40441074773992,50.39444284535378,50.640519210839265
1000.0,50.6509929097101,51.114866261300705,50.67881525483979,50.92448700782975
1050.0,50.87552413895034,51.76523240255773,50.899819275689275,51.22087548406015
1100.0,51.117740987184135,52.33112575488467,51.13449265157005,51.577568683605406
1150.0,51.37589040693893,52.81937101579912,51.38522330956489,51.895222512823544
1200.0,51.60269070609857,53.17126640339481,51.60358061302587,52.1488125908057
1250.0,51.79901329348104,53.53681640330358,51.79471586793667,52.43317747502022
1300.0,52.00549827609152,53.87281459408571,52.005030224430755,52.70451749136243
1350.0,52.21437387180651,54.16454981789801,52.22171571263455,52.94267537297011
1400.0,52.3995775869789,54.39889146680124,52.41293440422811,53.1297719880387
1450.0,52.573634941391624,54.68356406227029,52.58695825139923,53.34490523395827
1500.0,52.75894940315324,54.91926560631278,52.76957844007279,53.54171376164242
1550.0,52.94322639677465,55.13426926534766,52.949736328125105,53.788690606453564
1600.0,53.10992357940264,52.22100709851162,53.111434130640724,53.914571354886974
1650.0,53.269205334638016,52.99618787815736,53.26838819951679,54.1019997304204
1700.0,53.43233419724116,50.640214227224256,53.433481206080494,54.19630664648779
1750.0,53.59005857033209,51.99029748209539,53.595399136298816,54.42478148207388
1800.0,53.73607980680969,52.41060020487009,53.74437147214638,54.58308679144386
1850.0,53.88095794333462,52.688336830992355,53.889569274996134,54.69895585796238
1900.0,54.029428565735145,52.9093773722869,54.03671036870341,54.85534233266762
1950.0,54.17337471304191,53.15049855334785,54.178110718777376,54.925688056170856
2000.0,54.30921674555121,53.33382572187684,54.311167380278334,55.148008588598685
2050.0,54.443304797608405,53.547825153343744,54.444284032427404,55.31209878381964
2100.0,54.57700850767307,53.98604155904905,54.57925371028707,55.44221652234085
2150.0,54.705391089503266,54.68583094887609,54.70990936901104,55.51029528885091
